Ngày đăng,Loại hình,Địa chỉ,Giá (VND),Diện tích đất (m2),Diện tích sàn (m2),Phòng ngủ,Phòng tắm,Tình trạng nội thất,Giấy tờ pháp lý,Tiêu đề,Mô tả,Lý do loại bỏ,Diện tích
13/10/2025,other,"Hẻm 190 Vườn Lài, An Phú Đông, 12, Hồ Chí Minh",6800000000.0,67.6,0.0,1.0,1.0,other,certificate,"Bán đất diện tích 68m2 tại đường Vườn Lài, Phường An Phú Đông, Quận 12, giá 6,8 tỷ.","Bán đất diện tích 68m2 tại hẻm 190, đường Vườn Lài, Phường An Phú Đông, Quận 12.   - Kích thước: ngang 4,2m x dài 17m   - Đã có sổ hồng   - Hẻm xe hơi ra vào thuận tiện   - Gần cầu sắt   - Giá bán: 6,8 tỷ TL",Tin rao bán đất thật,
11/10/2025,other,"39 Đường Số 41, Bình Trị Đông B, Bình Tân, Hồ Chí Minh",10000000000.0,105.0,0.0,1.0,1.0,other,certificate,"Bán - Đất thổ cư 39 Đường Số 41, Bình Trị Đông B, Bình Tân, Hồ Chí Minh","Bán đất tại 39 Đường Số 41, Bình Trị Đông B, Bình Tân, Hồ Chí Minh. Diện tích 105 m² (4,5 x 25), full thổ cư, vị trí đắc địa, sổ đỏ chính chủ. Giá 10 tỷ, thương lượng. Khu vực an ninh, gần trường học, nhiều ánh sáng tự nhiên và không gian thoáng mát, hứa hẹn mang đến một môi trường sống lý tưởng. Ai có nhu cầu vui lòng liên hệ với tôi. Cảm ơn!",Tin rao bán đất thật,
10/10/2025,other,"đường 79, Phú Hữu, 9, Hồ Chí Minh",3800000000.0,56.2,0.0,1.0,1.0,other,certificate,"Bán đất tại Khu dân cư Phú Hữu, đường Nguyễn Thị Tư, phường Phú Hữu  
🔵 Diện tích: 57 m²  
🔴 Giá bán: 3,8 tỷ đồng  
🔹 Vị trí thuận tiện trong khu dân cư, gần các tiện ích và giao thông dễ dàng","🔴Bán đất tại Khu dân cư Phú Hữu, đường 79, Phường Phú Hữu, quận 9 🟢Diện tích: 56.2 m²   🔵Giá bán: 3.8 tỷ đồng   🔴Pháp lý: Đất ở, đất thổ cư   🔵Vị trí thuận tiện, phù hợp để xây dựng nhà ở hoặc đầu tư",Tin rao bán đất thật,
09/10/2025,other,"Đường số 8, 7, 8, Hồ Chí Minh",4455000000.0,80.0,0.0,1.0,1.0,other,certificate,"Chính chủ cần bán lô đất thổ cư diện tích 80m2, nằm trên đường số 8, Phường 07, Quận 8.","Chính chủ cần bán đất thổ cư tại Đường số 8, P.7, Q.8, TP.HCM,  + Diện tích 80m2.  + Tiện ích: bán kính 300m chung quanh có chợ Sáng, chợ Nhị Thiên Đường, Trường THPT Tạ Quang Bửu, Tiểu học, Trung học cơ sở, nhà hàng, tất cả ngân hàng, ....  + Vị trí nhà liên kết với các tuyến đường: Tạ Quang Bửu, Bùi Minh Trực, Liên Tỉnh 5, Phạm Hùng, ... + Đường trước nhà rộng, ô tô ra vào thuận tiện.  Giá bán: 4.455.000.000 VNĐ (Bốn tỷ bốn trăm năm mươi lăm triệu, có thương lượng).",Tin rao bán đất thật,
09/10/2025,other,"Đường Lô D, KDC Nam Hùng Vương , An Lạc, Bình Tân, Hồ Chí Minh",6800000000.0,67.0,0.0,1.0,1.0,other,certificate,"Bán đất diện tích 67m2 tại đường An Lạc, Phường An Lạc, quận Bình Tân, giá 6,8 tỷ.","Bán đất diện tích 67m2 tại đường Lô D, Phường An Lạc, Bình Tân - Đã có sổ đỏ, pháp lý rõ ràng   - Đường trước nhà rộng, xe hơi và xe tải di chuyển thuận tiện   - Đối diện công viên, không gian thoáng mát   - Khu vực dân trí cao, an ninh tốt   Giá bán: 6,8 tỷ  TL",Tin rao bán đất thật,
09/10/2025,other,"đường số 3 KDC Tam Bình, Tam Bình, Thủ Đức, Hồ Chí Minh",16500000000.0,184.7,0.0,1.0,1.0,other,certificate,"Cần bán lô đất diện tích 208m2 tại Khu dân cư Tam Bình, Phường Tam Bình (trước đây thuộc Quận Thủ Đức), giá bán 16,5 tỷ.","Bán đất 2 mặt tiền tại đường số 3, KDC Tam Bình, Phường Tam Bình (Quận Thủ Đức cũ), TP Thủ Đức - Vị trí đẹp, ngay gần Vành đai 2 đoạn 3 - Hiện trạng: Đang được cho thuê tiệm rửa xe - sạc điện Vinfast - Thửa đất số: 624 - Tờ bản đồ số 108 - Diện tích công nhận: 184,7m2, đất thổ cư 100% - Giá bán: 16,5 tỷ  TL",Tin rao bán đất thật,
09/10/2025,other,"290/27 đường Hiệp Thành 13, Hiệp Thành, 12, Hồ Chí Minh",5000000000.0,185.9,0.0,1.0,1.0,other,certificate,"Bán nhà mặt tiền tại số 67-69 đường Hiệp Thành 14, phường Hiệp Thành, quận 12, TP. Hồ Chí Minh. Giá bán: 5 tỷ đồng.","Bán đất tại 290/27 Hiệp Thành 13, phường Hiệp Thành, quận 12, TP. Hồ Chí Minh.   🔸 Diện tích: 185.9 m²   🔸 Hướng đất: Đông   🔸 Đã xây tường bao lô đất, tiện xây mới  🔸 Gần khu công nghiệp, khu dân cư hiện hữu 🔸 Giá bán: 5 tỷ đồng  TL",Tin rao bán đất thật,
09/10/2025,other,"372/52 - 52A Điện Biên Phủ, 17, Bình Thạnh, Hồ Chí Minh",19000000000.0,244.8,0.0,1.0,1.0,other,certificate,"Đất bán tại Đường Điện Biên Phủ, Phường 17, Quận Bình Thạnh – Giá 25 tỷ","Bán đất thổ cư tại 372/52 - 372/52A đường Điện Biên Phủ, phường 17, quận Bình Thạnh, TP. Hồ Chí Minh  – Diện tích: 244.8 m2 thổ cư – HIện trạng: có sẵn nhà cũ 3 tầng. – Đất ở vị trí đẹp, pháp lý rõ ràng, phù hợp xây dựng nhà ở hoặc đầu tư. – Giá 19 tỷ.",Tin rao bán đất thật,
08/10/2025,other,"Phạm Đăng Giảng, Bình Hưng Hòa, Bình Tân, Hồ Chí Minh",4200000000.0,65.7,0.0,1.0,1.0,other,certificate,"Nhà hẻm tại địa chỉ 364/7/16B đường Bình Đông, Phường Bình Hưng Hòa cần bán, diện tích 66m2, giá 4,2 tỷ.","Bán lô đất 1/ hẻm 227 Phạm Đăng Giảng, Bình Tân.  - Hẻm xe hơi, thông ra ĐS 3 - Kênh Tham Lương chỉ 5’. Tương lai 2 MT (mặt sau dự phóng đường 12m). - Diện tích 66m2, thổ cư 46m2. KDC hiện hữu nhà ở kín, gần chợ - trường học & các tiện ích khác. Thuận tiện xây dựng nhà mới 4-5 tấm. - Giá bán: 4.2 Tỷ TL",Tin rao bán đất thật,
08/10/2025,other,"đường Trần Thị Triên, Nhuận Đức, Củ Chi, Hồ Chí Minh",2200000000.0,227.2,0.0,1.0,1.0,other,certificate,"Chính chủ cần bán lô đất thổ cư diện tích 227 m2, tọa lạc trên đường Trần Thị Triên, xã Nhuận Đức, huyện Củ Chi.","Bán đất thổ cư tại đường Trần Thị Triên, Xã Nhuận Đức, H.Củ Chi, TP.HCM Diện tích 227.2m2 (200m2 thổ cư) - Thửa đất số: 528 - Tờ bản đồ số: 48 Giá bán: 2.200.000.000 VNĐ (Hai tỷ hai trăm triệu, có thương lượng).",Tin rao bán đất thật,
08/10/2025,other,"Đường TL 41, Thạnh Lộc, 12, Hồ Chí Minh",8380000000.000001,103.2,0.0,1.0,1.0,other,certificate,"Bán - Đất thổ cư Đường TL 41, Thạnh Lộc, 12, Hồ Chí Minh","Bán đất thổ cư 2 mặt tiền tại Phường Thạnh Xuân, Quận 12 - Diện tích: 103.2m2 (5.26 x 29.0m) - Đất 2 MT trước/sau, đã tách riêng 2 sổ 2 mặt  - Có sẵn GPXD 5 Tầng, Trệt-Lửng-2Lầu-Sân thượng Giá: 8 tỷ 380tr TL - Lô mặt tiền TL29 : 4T290 bớt lộc  - Lô mặt tiền thông TL41 : 4Tỷ090",Tin rao bán đất thật,
07/10/2025,other,"460/54 Nguyễn Tất Thành, 18, 4, Hồ Chí Minh",4500000000.0,49.3,0.0,1.0,1.0,other,certificate,"Nhà cấp 4 cần bán tại đường Nguyễn Tất Thành, Phường 18, Quận 4, diện tích 49,3m2, giá bán 4,5 tỷ.","Bán đất tại 460/54 Nguyễn Tất Thành, Phường 18, Quận 4 Diện tích 49,3m2 Hiện trạng trên đất: Có một căn nhà cấp 4, do nằm trong khu quy hoạch gần 20 năm nên nhà không được công nhận trên sổ Gồm 1 phòng ngủ, 1 vệ sinh   Giá bán: 4,5 tỷ  TL",Tin rao bán đất thật,
07/10/2025,other,"Ấp 5, Huỳnh Tấn Phát, Phú Xuân, Nhà Bè, Hồ Chí Minh",7500000000.0,157.9,0.0,1.0,1.0,other,certificate,"Chính chủ cần bán lô đất thổ cư diện tích 160m2, nằm trên đường Huỳnh Tấn Phát, xã Phú Xuân, huyện Nhà Bè.","Chính chủ cần bán đất thổ cư  Ấp 5, Huỳnh Tấn Phát, Xã Phú Xuân, H.Nhà Bè, - Diện tích: 157.9m2   - Kích thước: 16m x 10m   - Đường trước nhà rộng, ô tô ra vào thoải mái   - Giá bán: 7,5 tỷ (có thương lượng)",Tin rao bán đất thật,
07/10/2025,other,"đường số 6, Long Bình, 9, Hồ Chí Minh",7500000000.0,129.5,0.0,1.0,1.0,other,certificate,"Đất diện tích 130m2, nằm trong hẻm đường số 6, Quận 9 – Giá bán 7,5 tỷ (đã điều chỉnh tăng giá)","Bán đất đường số 6, Long Bình, Q.9, TP.Hồ Chí Minh Đất diện tích 129.5m2 Giá bán hiện tại: 7,5 tỷ",Tin rao bán đất thật,
06/10/2025,other,"27/4A Khu Phố 4, Tân Thới Hiệp, 12, Hồ Chí Minh",37000000000.0,534.2,0.0,0.0,0.0,other,certificate,"Bán - Đất thổ cư 27/4A Khu Phố 4, Tân Thới Hiệp, 12, Hồ Chí Minh","🍀Bán đất Mặt tiền trương thị hoa Q12, gần Ủy Ban Q12, cạnh siêu thị Mega, vị trí đẹp KD sầm uất.. ❤️ cách QL 1A 200m  🍀 diện tích 540m2  full thổ cư 100%%  💵💵💰 Giá  chưa tới 70 tr m2 🍀Hướng TN 🍀tiện nhà xưởng , văn phòng, hotel, CHDV.... 🍀Giá 37 tỷ TL",Tin rao bán đất thật,
02/10/2025,other,"66A, Thạnh Lộc, 12, Hồ Chí Minh",10200000000.0,170.0,0.0,1.0,1.0,other,certificate,"Bán - Đất thổ cư 66A, Thạnh Lộc, 12, Hồ Chí Minh","🌟 Cơ hội vàng sở hữu ngay lô đất thổ cư 100% 🌟 📍 Vị trí: Thửa: 1468 Tờ: 20, Thạnh Lộc, Quận 12, TP.HCM ,nằm sát đường Song Hành Hà Huy Giáp (40m) dự phóng. 📐 Diện tích: 10m x 17m – Vuông vức, dễ thiết kế và xây dựng. ✅ Full thổ cư, pháp lý sổ hồng riêng, sang tên ngay ✅ Nằm trong khu vực phát triển sôi động ✅ Thích hợp để đầu tư sinh lời hoặc xây dựng nhà ở, kinh doanh lâu dài 🚗Xe hơi đậu cách đất chỉ 50m. 🚗 Giao thông thuận tiện, kết nối nhanh chóng đến các trục đường chính và trung tâm",Tin rao bán đất thật,
01/10/2025,other,"đường số 1 nối dài, An Lạc, Bình Tân, Hồ Chí Minh",5500000000.0,100.0,0.0,1.0,1.0,other,certificate,"Bán - Đất thổ cư 69 Đường số 1, An Lạc, Bình Tân, Hồ Chí Minh","Bán đất nền  đường Số 1 nối dài , Nam Hùng Vương - Bình Tân  Vị trí: ngay đường Võ Văn Kiệt và 2F ( Bình Tân ) Kdc hiện hữu, tiện ích đầy đủ - Thửa đất số: 453 - Tờ bản đồ số: 65 Pháp lý: sổ hồng  Diện tích: 4,5×21.91= 100m² Giá bán: 5,5 tỷ TL",Tin rao bán đất thật,
30/09/2025,other,"10B Đường số 12B, Tân Thuận Tây, 7, Hồ Chí Minh",9500000000.0,54.0,0.0,1.0,1.0,other,certificate,"Bán - Đất thổ cư 10B Đường số 12B, Tân Thuận Tây, 7, Hồ Chí Minh","Bán đất mặt tiền đường số khu dân cư , cư xá ngân hàng  - Diện tích 54m2 thổ cư 100%. Khu dân cư xây dựng được 4 tầng. - Vị trí thông tứ hướng, trần xuân soạn, lâm văn bền, nguyễn văn linh.. - Tiện ích xung quanh đầy đủ, gần chợ cư xá, trường học Nguyễn Hữu Thọ, Đại Học marketing......và các trung tâm thương mại  - Giá 9,5 tỷ còn thương thảo",Tin rao bán đất thật,
27/09/2025,other,"170/17 Bến Vân Đồn, 9, 4, Hồ Chí Minh",7000000000.0,51.3,0.0,0.0,0.0,other,certificate,"Bán - Đất thổ cư 170/17 Bến Vân Đồn, 9, 4, Hồ Chí Minh","Bán đất 2 mặt hẻm thoáng mát tại 170/17 Bến Vân Đồn, quận 4, Hồ Chí Minh.  Diện tích 5.11x10.6m, thuộc khu vực nhiều tiện ích.   Đây là cơ hội lý tưởng để đầu tư hoặc xây dựng nhà ở.  Giá 7 tỷ  Liên hệ ngay hôm nay để biết thêm chi tiết!",Tin rao bán đất thật,
24/09/2025,street_front_house,"25 Nguyễn Hữu Tiến, Tây Thạnh, Tân Phú, Hồ Chí Minh",220000000000.0,2892.0,0.0,1.0,1.0,partially_furnished,certificate,"Bán - Nhà mặt tiền 25 Nguyễn Hữu Tiến, Tây Thạnh, Tân Phú, Hồ Chí Minh","Bán lô đất diện tích gần 2.900m², mặt tiền đường Nguyễn Hữu Tiến, Phường Tây Thạnh, Quận Tân Phú.   Lô đất sở hữu 3 mặt tiền, vị trí gần siêu thị và trường học, thuận tiện kinh doanh hoặc đầu tư.   Giá bán: 220 tỷ   Địa chỉ: Đường Nguyễn Hữu Tiến, Phường Tây Thạnh, Quận Tân Phú",Tin rao bán đất thật,
24/09/2025,other,"Nguyễn Duy Trinh, Bình Trưng Đông, Thủ Đức, Hồ Chí Minh",6000000000.0,60.0,0.0,1.0,1.0,other,certificate,"Bán - Đất thổ cư Nguyễn Duy Trinh, Bình Trưng Đông, Thủ Đức, Hồ Chí Minh","🏙️ **Cơ hội hiếm có tại Quận 2!** Hiện có **16 lô đất nền** vị trí đẹp, hạ tầng hoàn thiện, đường lớn thông thoáng, giá chỉ **110 triệu/m²**. Mỗi lô đều được phép **xây 1 trệt 5 lầu**, phù hợp để ở, cho thuê, hoặc kinh doanh đa chức năng. 💎 Sở hữu đất trung tâm Quận 2 với mức giá hấp dẫn – **giá trị tăng cao từng ngày!** 📞 **Liên hệ ngay 0886.857.949** để xem vị trí thực tế và chọn lô đẹp nhất hôm nay!",Tin rao bán đất thật,
24/09/2025,other,"Đường số 6, Bình Trưng Tây, 2, Hồ Chí Minh",11000000000.0,114.3,0.0,1.0,1.0,other,certificate,"Bán đất diện tích 115m2, nằm trong hẻm đường số 6, phường Bình Trưng Tây, Quận 2. Giá bán: 11 tỷ (đã giảm giá).","Bán đất tại Đường số 6, Phường Bình Trưng Tây, Quận 2, TP. Thủ  Đức  Diện tích 114.3m2 (Đất ở: 79.8m2; đất trồng cây lâu năm: 34.5m2)  Khu dân cư đông đúc, thích hợp xây để ở hoặc vàm văn phòng công ty | Quy hoach xây dựng tự do, cao tối đa 5 tầng  Giá bán: 11 tỷ (TL)",Tin rao bán đất thật,
19/09/2025,alley_house,"Đường TL 37, Thạnh Lộc, 12, Hồ Chí Minh",7200000000.0,127.4,0.0,1.0,1.0,other,certificate,"Bán Bất động sản khác Đường TL 37, Thạnh Lộc, 12, Hồ Chí Minh","Bán đất thổ cư tại đường Thạnh Lộc 39, Phường An Phú Đông, Quận 12, TP. Hồ Chí Minh. Diện tích 127.4 m2 giá bán 7,2 tỷ. Phù hợp để xây nhà ở hoặc đầu tư.",Tin rao bán đất thật,
19/09/2025,other,"Thạnh Lộc 39, An Phú Đông, 12, Hồ Chí Minh",8200000000.0,196.3,0.0,1.0,1.0,other,certificate,"Đất cần bán tại đường Thạnh Lộc 39, Phường An Phú Đông, diện tích 196m2, giá 8,2 tỷ.","Bán đất thổ cư tại đường Thạnh Lộc 39, Phường An Phú Đông, Quận 12, TP. Hồ Chí Minh.  Diện tích 196m3,  giá bán 8,2 tỷ. Phù hợp để xây nhà ở hoặc đầu tư.",Tin rao bán đất thật,
19/09/2025,other,"Xã Tân An Hội Đường Trình Thị Gắt, Tân An Hội, Củ Chi, Hồ Chí Minh",1500000000.0,100.8,0.0,1.0,1.0,other,certificate,"Chính chủ cần bán lô đất thổ cư diện tích 100m2, nằm trên đường Trình Thị Gắt, xã Tân An Hội, huyện Củ Chi.","Chính chủ cần bán đất thổ cư, diện tích 100m2 Giá bán: 1 tỷ 500 triệu VNĐ (có thương lượng).   Địa chỉ chi tiết và số điện thoại liên hệ xem bên dưới.   hh1%",Tin rao bán đất thật,
19/09/2025,other,"213/15 Lê Đình Cẩn, Tân Tạo, Bình Tân, Hồ Chí Minh",6200000000.0,79.4,0.0,1.0,1.0,other,certificate,"Đất diện tích 80m2 cần bán tại đường Lê Đình Cẩn, phường Tân Tạo, quận Bình Tân. Giá bán: 6,2 tỷ.","Bán đất thổ cư diện tích 80m2 tại đường Lê Đình Cẩn, phường Tân Tạo, quận Bình Tân, TP. Hồ Chí Minh.  Giá bán: 6,2 tỷ.  Phù hợp để xây nhà ở hoặc đầu tư.",Tin rao bán đất thật,
19/09/2025,other,"Số 16, Tân Thông Hội, Củ Chi, Hồ Chí Minh",5300000000.0,329.6,0.0,1.0,1.0,other,certificate,"Chính chủ cần bán lô đất thổ cư diện tích 330m2, nằm trên đường Số 16, xã Tân Thông Hội, huyện Củ Chi.","Chính chủ cần bán đất thổ cư, diện tích 329.6m2.   Giá bán: 5.300.000.000 VNĐ (Năm tỷ ba trăm triệu, có thể thương lượng).   Đất ở 286.7m2; đất trồng cây lau năm 42.9m2",Tin rao bán đất thật,
19/09/2025,other,"đường 100 Bình Thới, 14, 11, Hồ Chí Minh",5900000000.0,65.2,0.0,1.0,1.0,other,certificate,"Bán - Đất thổ cư 102/39 100 Bình Thới, 14, 11, Hồ Chí Minh","🌟 HOT – ĐẤT PHÂN LÔ TRỐNG Q.11 – HOA HỒNG 1% 🌟  📍 Vị trí: đường 100 Bình Thới, Phường 14, Quận 11, TP.HCM 👉 DT: 4 x 16m – Vuông vức đẹp. 👉 Mật độ XD: Trệt + 2 lầu + ST. 👉 Hẻm 3m, cách 10m ra chỗ xe hơi đậu, cực tiện. - Thửa đất số: 418 - Tờ bản đồ số: 6  💰 Giá: 5.9 TỶ (bớt lộc) 📑 Sổ hồng riêng, pháp lý chuẩn.",Tin rao bán đất thật,
18/09/2025,other,"đường số 6, Bình Hưng Hoà B, Bình Tân, Hồ Chí Minh",5200000000.0,74.5,0.0,1.0,1.0,other,certificate,"Chính chủ cần bán lô đất thổ cư diện tích 75m2, nằm trên đường Số 6, phường Bình Hưng Hoà B, quận Bình Tân.","Chính chủ cần bán đất thổ cư tại đường số 6, P.Bình Hưng Hoà B, Q.Bình Tân, TP.HCM Diện tích 74.5m2, nở hậu 4.85m - Thửa đất số: 634 - Tờ bản đồ số: 124 Đường trước nhà rộng, ô tô ra vào thuận tiện Giá bán: 5 tỷ 200 triệu đồng (có thương lượng)",Tin rao bán đất thật,
17/09/2025,other,"đường Bờ Xe Lam, Tân Kiên, Bình Chánh, Hồ Chí Minh",8000000000.0,280.8,0.0,1.0,1.0,other,certificate,"Chính chủ cần bán lô đất thổ cư diện tích 280m2, tọa lạc tại đường Bờ Xe Lam, xã Tân Kiên, huyện Bình Chánh.","Chính chủ cần bán đất thổ cư tại đường Bờ Xe Lam, Xã Tân Kiên, H.Bình Chánh, TP.HCM – Diện tích: 280.8m2 (239.5m2 đã lên thổ) - Thửa đất số: 665 - Tờ bản đồ số: 43 – Đường trước nhà rộng, ô tô ra vào thoải mái  – Giá bán: 8 tỷ (có thương lượng)",Tin rao bán đất thật,
17/09/2025,other,"Trần Thị Bốc, Thới Tam Thôn, Hóc Môn, Hồ Chí Minh",2200000000.0,59.0,0.0,1.0,1.0,other,certificate,"Chính chủ bán nhà trong hẻm ngõ 59m², đất thổ cư, đường Trần Thị Bốc, Huyện Hóc Môn, xã Thới Tam Thôn","Chính chủ bán đất thổ cư tại Trần Thị Bốc, Xã Thới Tam Thôn, H.Hóc Môn, TP.HCM Diện tích 59 m², rộng 4m x dài 14.75m.  Đường trước nhà rộng, có thể đỗ xe hơi.  Đất thổ cư, phù hợp để xây dựng mới.  Giá bán: 2.200.000.000 VNĐ (hai tỷ hai trăm triệu), có thể thương lượng.",Tin rao bán đất thật,
